obf_true,ai_name,confidence,apply,role,domain,opcode,rationale
axw,MatchmakingScreen,low,0,Screen,Matchmaking,,refs=[] strs=[mainLog.fightLog | Exception dans le release de | normalement impossible.]
PW,PartyScreen,low,0,Screen,Party,,refs=[NetworkMessage] strs=[fightInvitation.messageOut | fightInvitation.messageIn | fightInvitation.messageInEvolution]
Oo,PropertyScreen,low,0,Screen,Property,,"refs=[] strs=[resource | In <property> element, either the \""file\"" attribute alone, or the \""resource\"" element alone, or both the \""name\"" and \""value\"" attributes must be set. | substitutionPropert"
Tr,PropertyScreen,low,0,Screen,Property,,refs=[] strs=[configuration/property | configuration/substitutionProperty | configuration/contextProperty]
aCE,PropertyScreen,low,0,Screen,Property,,refs=[] strs=[removePropertyClient | dialogName | widgetId]
aFc,PropertyScreen,low,0,Screen,Property,,"refs=[] strs=[ant.PropertyHelper | toString: | Property \""]"
nJ,PropertyScreen,low,0,Screen,Property,,refs=[] strs=[Failed to introspect | No such property [ | Failed to set property []
afx,PropertyScreen,low,0,Screen,Property,,refs=[] strs=[setDialogProperty | property | value]
afn,PropertyScreen,low,0,Screen,Property,,refs=[] strs=[removeDialogProperty | property]
aCx,TeamScreen,low,0,Screen,Team,,refs=[CreateFighterInformationRequestMessage NetworkMessage UiEventBus] strs=[dofusarena.teamManagement | error.fighterCreation.invalidName | teamManagement.editableFighter]
B,TeamScreen,low,0,Screen,Team,,refs=[NetworkMessage] strs=[error.fight.creation.badClick | teamManagement.teamPreset1vs1List | teamManagement.teamPreset2vs2List]
BS,TeamScreen,low,0,Screen,Team,,refs=[] strs=[teamManagement.teamPreset1vs1List | teamManagement.teamPreset2vs2List | teamManagement.teamPresetTournamentList]
Rg,TeamScreen,low,0,Screen,Team,,refs=[] strs=[manageFrame | frame | push]
aIO,TeamScreen,low,0,Screen,Team,,refs=[UiEventBus] strs=[dofusarena.evolution | teamManagement.editableFighter | selectedConsumableCard]
PI,TeamScreen,low,0,Screen,Team,,refs=[UiEventBus] strs=[dofusarena.fightCreation | teamManagement.editableTeamPreset | error.teamManagement.noTeamSelected]
adY,TeamScreen,low,0,Screen,Team,,refs=[] strs=[teamManagement.fighterList | teamManagement.filtredFighterList | teamManagement.fighterManager]
aJE,TeamScreen,low,0,Screen,Team,,refs=[CreateFighterInformationRequestMessage] strs=[serializeTeam | team | errorSavingFile]
aDn,TournamentScreen,low,0,Screen,Tournament,,refs=[] strs=[list1vs1 | list2vs2 | listGuild]
fn,TournamentScreen,low,0,Screen,Tournament,,refs=[UiEventBus] strs=[dofusarena.tournaments | selectedTournamentEvent | defaultCalendar]
vg,TournamentScreen,low,0,Screen,Tournament,,refs=[] strs=[name | description | rules]
Qr,TournamentScreen,low,0,Screen,Tournament,,refs=[] strs=[registrationEnabled | tournamentDescription | tournamentIllustration]
amu,TournamentScreen,low,0,Screen,Tournament,,refs=[] strs=[UNKNOWN_EVENT | BROADCAST_EVENT | MAINTENANCE_EVENT]
vK,TournamentScreen,low,0,Screen,Tournament,,refs=[] strs=[tournamentsOfTheDay | tournamentsList | tournamentDefinitionsAvailable]
Y,TournamentScreen,low,0,Screen,Tournament,,refs=[] strs=[fight.team0 | fight.team1 | tournamentDefeat]
En,TournamentScreen,low,0,Screen,Tournament,,refs=[NetworkMessage] strs=[tournamentEvolutionDialog | tournamentGraveyardDialog]
auU,WorldScreen,low,0,Screen,World,,refs=[AssetBinaryReader] strs=[Invalid path : | Can't set worldId if not using constant world. See TopologyMapManager.enableConstantWorld for more informations | Can't get worldId if not using constan
